iter	RMSE
0	461.3632235
1	435.5708162
2	411.1073065
3	389.1340202
4	364.9089928
5	346.042426
6	332.3682951
7	325.2436196
8	304.729006
9	288.5853514
10	274.4810949
11	256.2575558
12	241.2415032
13	228.2003781
14	215.7657613
15	206.5233882
16	194.5136718
17	184.6549989
18	172.4664758
19	165.6791262
20	156.6412507
21	148.7837953
22	142.3738356
23	133.4776457
24	125.909689
25	118.8190739
26	111.8157013
27	105.9344708
28	100.3967516
29	94.85962953
30	90.0162941
31	84.88694978
32	79.89003567
33	75.99744333
34	71.62481603
35	67.2911373
36	63.09016679
37	60.49129241
38	57.67374181
39	54.71034181
40	51.88001887
41	49.0414523
42	46.46890654
43	43.87578573
44	41.24341328
45	38.6734073
46	36.67213015
47	34.50392308
48	32.11439897
49	30.23395712
